Date,Open,High,Low,Close,Volume,Adj Close
2014-05-30,527.12,533.30,525.47,532.50,246200,532.50
2014-05-29,533.66,535.00,525.08,527.47,228700,527.47
2014-05-28,522.06,534.38,522.06,533.34,367000,533.34
2014-05-27,541.00,546.70,520.25,520.25,519500,520.25
2014-05-23,543.73,544.47,538.90,540.90,257600,540.90
2014-05-22,534.92,544.50,534.92,541.66,296300,541.66
2014-05-21,534.84,535.53,528.00,534.87,157800,534.87
2014-05-20,531.25,532.24,526.39,528.74,147500,528.74
2014-05-19,525.33,533.23,525.33,532.76,153400,532.76
2014-05-16,519.00,530.60,519.00,527.02,341600,527.02
2014-05-15,530.37,530.37,516.79,524.28,232000,524.28
2014-05-14,532.63,532.99,526.87,529.40,219800,529.40
2014-05-13,543.78,546.70,532.22,533.11,244800,533.11
2014-05-12,538.79,544.88,537.21,543.38,194200,543.38
2014-05-09,529.00,536.09,526.69,535.92,157000,535.92
2014-05-08,523.84,532.68,522.00,530.86,214400,530.86
2014-05-07,527.00,528.88,521.98,524.60,143300,524.60
2014-05-06,534.95,534.95,522.35,526.73,157300,526.73
2014-05-05,529.25,531.04,525.03,530.06,131600,530.06
2014-05-02,527.82,534.58,526.77,529.54,150200,529.54
2014-05-01,529.12,534.43,525.21,526.79,200700,526.79
2014-04-30,534.84,534.84,528.72,533.89,284200,533.89
2014-04-29,533.04,534.99,529.04,529.62,151100,529.62
2014-04-28,525.08,534.00,520.83,531.45,297000,531.45
2014-04-25,525.12,525.58,520.98,522.32,201000,522.32
2014-04-24,525.00,527.08,521.25,525.88,193500,525.88
2014-04-23,522.81,527.74,521.67,526.25,211500,526.25
2014-04-22,521.28,523.57,518.11,521.55,249300,521.55
2014-04-21,514.69,520.54,514.01,519.40,132100,519.40
2014-04-17,519.93,523.64,515.47,516.16,205800,516.16
2014-04-16,522.00,523.17,517.80,522.14,190100,522.14
2014-04-15,516.34,521.51,510.33,519.70,287600,519.70
2014-04-14,513.44,518.00,510.19,515.28,299600,515.28
2014-04-11,511.00,517.41,510.25,511.28,352500,511.28
2014-04-10,528.20,528.94,513.50,514.59,287500,514.59
2014-04-09,528.96,531.04,522.62,527.46,221900,527.46
2014-04-08,517.34,525.52,513.41,525.48,310000,525.48
2014-04-07,523.31,527.59,517.06,519.00,317500,519.00
2014-04-04,535.00,536.38,523.84,526.12,283700,526.12
2014-04-03,534.96,538.69,533.01,535.61,182400,535.61
2014-04-02,535.50,537.93,533.10,535.47,232700,535.47
2014-04-01,539.95,541.00,534.91,536.54,306500,536.54
2014-03-31,528.43,538.05,524.51,537.10,425000,537.10
2014-03-28,528.64,529.69,525.35,527.44,296100,527.44
2014-03-27,522.31,527.16,519.60,525.71,199500,525.71
2014-03-26,528.80,530.93,522.21,522.75,213900,522.75
2014-03-25,534.39,537.00,527.01,528.90,289800,528.90
2014-03-24,536.58,539.47,527.51,530.39,158800,530.39
2014-03-21,540.00,540.99,533.99,536.86,256300,536.86
