Date,Open,High,Low,Close,Volume,Adj Close
2014-05-30,24.01,24.16,23.95,24.12,4123800,24.12
2014-05-29,24.01,24.08,23.86,24.06,1822800,24.06
2014-05-28,23.99,24.07,23.92,24.01,2664600,24.01
2014-05-27,24.00,24.12,23.86,23.96,2888400,23.96
2014-05-23,24.00,24.05,23.84,23.87,2563800,23.87
2014-05-22,23.68,24.11,23.61,24.03,3863000,24.03
2014-05-21,23.67,23.73,23.52,23.68,3494100,23.68
2014-05-20,23.51,23.68,23.39,23.64,3624200,23.64
2014-05-19,23.82,23.83,23.47,23.51,3287700,23.51
2014-05-16,23.58,23.88,23.45,23.88,5125100,23.88
2014-05-15,23.70,23.82,23.55,23.55,2965300,23.55
2014-05-14,23.45,23.87,23.41,23.70,3903900,23.70
2014-05-13,23.76,23.86,23.55,23.67,5308700,23.43
2014-05-12,23.95,24.06,23.73,23.73,3760000,23.49
2014-05-09,24.34,24.41,23.93,23.95,3727200,23.71
2014-05-08,24.56,24.64,24.28,24.36,3067300,24.12
2014-05-07,24.30,24.54,24.27,24.51,3346100,24.26
2014-05-06,24.48,24.48,24.24,24.25,2743500,24.01
2014-05-05,24.27,24.52,24.24,24.47,3146000,24.22
2014-05-02,24.65,24.69,24.23,24.29,4531300,24.05
2014-05-01,25.23,25.55,24.57,24.74,4730300,24.49
2014-04-30,24.62,24.86,24.60,24.76,5082900,24.51
2014-04-29,24.83,24.94,24.57,24.59,4381300,24.34
2014-04-28,24.89,24.96,24.61,24.82,5253400,24.57
2014-04-25,24.57,24.90,24.48,24.86,4498100,24.61
2014-04-24,24.64,24.78,24.43,24.56,3745600,24.31
2014-04-23,24.61,24.84,24.57,24.62,2971700,24.37
2014-04-22,24.47,24.65,24.30,24.55,5425500,24.30
2014-04-21,24.63,24.66,24.35,24.40,3559300,24.15
2014-04-17,24.63,24.81,24.46,24.61,3965900,24.36
2014-04-16,24.55,24.73,24.35,24.70,5560700,24.45
2014-04-15,24.11,24.47,24.07,24.46,4810200,24.21
2014-04-14,24.08,24.17,23.85,24.05,5813400,23.81
2014-04-11,23.92,24.34,23.84,24.00,7084800,23.76
2014-04-10,23.90,24.22,23.83,23.96,4125800,23.72
2014-04-09,23.69,23.91,23.53,23.86,3842100,23.62
2014-04-08,23.49,23.70,23.19,23.69,5740800,23.45
2014-04-07,23.80,23.89,23.37,23.39,4901400,23.15
