Date,Open,High,Low,Close,Volume,Adj Close
2014-05-30,77.80,78.49,77.68,78.32,5286500,78.32
2014-05-29,77.51,77.86,77.07,77.66,3321400,77.66
2014-05-28,77.23,77.75,77.20,77.25,3744700,77.25
2014-05-27,77.30,77.33,77.00,77.17,2747300,77.17
2014-05-23,77.33,77.41,76.99,77.12,2494100,77.12
2014-05-22,76.64,77.37,76.53,77.21,3546400,77.21
2014-05-21,76.31,76.80,76.10,76.70,3370000,76.70
2014-05-20,76.27,76.53,75.81,75.93,2931700,75.93
2014-05-19,76.27,76.69,76.04,76.27,4314500,76.27
2014-05-16,75.56,76.68,75.47,76.57,5378500,76.57
2014-05-15,75.97,76.00,74.74,75.56,3799900,75.56
2014-05-14,76.16,76.48,75.90,76.00,2814000,76.00
2014-05-13,76.80,77.00,76.42,76.55,3476700,76.55
2014-05-12,76.50,77.13,76.42,76.82,4334100,76.82
2014-05-09,75.78,76.44,75.41,76.28,4212500,76.28
2014-05-08,75.73,76.23,75.37,75.86,6199400,75.86
2014-05-07,74.81,76.00,74.38,75.90,5480200,75.90
2014-05-06,74.90,74.99,74.31,74.44,4329800,74.44
2014-05-05,73.75,75.70,73.34,74.98,6211400,74.98
2014-05-02,72.86,73.94,72.43,73.86,6912000,73.86
2014-05-01,72.44,73.28,72.44,73.09,7016700,73.09
2014-04-30,73.12,73.18,72.44,72.72,8734100,72.72
2014-04-29,73.67,74.06,73.43,73.47,5027100,73.47
2014-04-28,73.71,74.57,73.25,73.61,7684400,73.61
2014-04-25,73.00,73.63,72.97,73.24,4397100,73.24
2014-04-24,73.27,73.64,72.97,73.07,5217900,73.07
2014-04-23,73.24,73.63,72.97,73.09,3499300,73.09
2014-04-22,73.84,73.86,73.22,73.24,5001600,73.24
2014-04-21,73.63,74.04,73.51,73.67,5247400,73.67
2014-04-17,73.35,74.10,73.32,73.74,5442000,73.74
2014-04-16,74.07,74.24,73.51,73.91,4660000,73.64
2014-04-15,73.59,73.91,72.38,73.44,5297900,73.17
2014-04-14,73.17,73.52,72.77,73.37,5049300,73.10
2014-04-11,72.55,73.22,72.37,72.58,5611800,72.31
2014-04-10,74.49,75.41,72.93,72.93,6124000,72.66
2014-04-09,73.23,74.48,73.17,74.45,5787200,74.17
2014-04-08,73.76,73.99,73.07,73.18,8632600,72.91
2014-04-07,74.80,74.80,73.82,73.83,5449200,73.56
2014-04-04,75.56,76.00,74.59,74.69,5133900,74.41
2014-04-03,74.75,75.34,74.66,75.24,4342400,74.96
2014-04-02,73.90,75.11,73.85,74.77,5194600,74.49
2014-04-01,74.56,75.09,74.11,74.29,5298500,74.01
2014-03-31,74.81,75.23,74.56,74.86,4355100,74.58
2014-03-28,74.30,74.50,73.85,74.26,5220200,73.98
2014-03-27,74.69,75.15,74.01,74.13,5315700,73.85
2014-03-26,75.78,76.36,75.12,75.30,7771800,75.02
2014-03-25,74.72,75.05,74.46,74.95,5216500,74.67
2014-03-24,74.51,74.67,73.73,74.35,8511600,74.07
2014-03-21,74.56,74.95,73.85,74.95,14439400,74.67
2014-03-20,73.36,74.12,73.26,73.99,3550500,73.71
2014-03-19,73.80,74.24,73.06,73.51,4331600,73.24
2014-03-18,74.42,74.45,73.42,73.69,5064000,73.42
2014-03-17,72.80,74.41,72.80,74.36,6306200,74.08
2014-03-14,72.30,73.51,72.30,72.75,5486000,72.48
2014-03-13,73.08,73.28,72.36,72.50,5119400,72.23
2014-03-12,72.37,72.88,72.05,72.88,4015700,72.61
2014-03-11,73.67,73.70,72.50,72.70,4723800,72.43
2014-03-10,73.42,73.70,73.13,73.57,4067700,73.30
2014-03-07,73.49,73.78,73.13,73.48,3726600,73.21
2014-03-06,73.89,73.89,72.98,73.22,3713900,72.95
2014-03-05,73.15,73.58,73.03,73.18,4611200,72.91
2014-03-04,73.27,73.39,72.88,73.10,5744700,72.83
2014-03-03,72.59,73.10,72.26,72.59,5767500,72.32
2014-02-28,72.25,73.62,72.14,73.14,7556300,72.87
2014-02-27,72.13,72.30,71.69,72.16,4999500,71.89
2014-02-26,72.18,72.63,72.00,72.20,5260200,71.93
2014-02-25,71.48,72.20,71.37,72.16,4868100,71.89
2014-02-24,71.47,72.12,71.35,71.37,4915900,71.10
2014-02-21,71.18,71.66,71.13,71.20,4908400,70.94
2014-02-20,70.21,71.38,70.07,71.31,5607900,71.04
2014-02-19,70.16,70.72,69.92,70.10,5624400,69.84
2014-02-18,70.48,70.55,70.04,70.32,6868500,70.06
2014-02-14,69.35,70.19,69.12,69.90,5127000,69.64
2014-02-13,68.20,69.57,68.09,69.48,6027800,69.22
2014-02-12,68.65,69.10,68.39,68.54,5947700,68.28
2014-02-11,69.71,69.71,68.21,68.77,13618000,68.51
2014-02-10,66.42,67.00,66.36,66.94,8584200,66.69
2014-02-07,66.01,66.98,65.96,66.44,6206000,66.19
2014-02-06,65.47,66.14,65.31,66.11,5927800,65.86
2014-02-05,65.06,66.00,64.95,65.44,10092700,65.20
2014-02-04,66.45,66.77,65.71,66.11,6137800,65.86
2014-02-03,67.52,67.67,65.68,65.79,7016400,65.55
2014-01-31,66.79,68.07,66.07,67.72,7388500,67.47
2014-01-30,67.79,68.24,67.33,67.65,5060500,67.40
2014-01-29,68.00,68.06,67.16,67.35,8339300,67.10
2014-01-28,67.66,68.78,67.66,68.52,5159100,68.27
2014-01-27,67.66,67.95,67.07,67.53,7289100,67.28
2014-01-24,68.37,68.43,67.63,67.63,5717100,67.38
2014-01-23,68.71,68.78,68.10,68.47,5633800,68.22
2014-01-22,68.65,69.66,68.60,69.17,6294500,68.91
2014-01-21,68.61,68.62,68.06,68.32,6548600,68.07
2014-01-17,68.21,68.26,67.82,67.97,4551300,67.44
2014-01-16,68.19,68.28,67.76,68.13,5865400,67.60
2014-01-15,68.63,69.00,67.88,68.29,5842200,67.76
2014-01-14,68.62,68.84,68.14,68.49,5835700,67.96
2014-01-13,69.33,69.68,68.43,68.55,3638100,68.02
2014-01-10,69.81,70.00,68.83,69.51,6859100,68.97
2014-01-09,70.45,70.59,69.33,69.92,4960900,69.38
2014-01-08,69.78,69.93,69.15,69.77,5067700,69.23
2014-01-07,69.53,69.75,69.22,69.67,4524200,69.13
2014-01-06,70.75,70.83,69.30,69.31,6345100,68.77
2014-01-03,70.55,70.78,70.26,70.55,3885500,70.00
2014-01-02,71.16,71.37,70.18,70.40,4485800,69.85
2013-12-31,71.80,71.97,71.30,71.57,2301600,71.02
2013-12-30,71.39,71.85,71.39,71.58,2513600,71.03
2013-12-27,71.35,71.99,71.31,71.56,2440400,71.01
2013-12-26,71.00,71.40,70.99,71.28,2371500,70.73
2013-12-24,70.56,71.29,70.56,70.98,1698200,70.43
2013-12-23,70.50,70.74,70.12,70.52,3847700,69.97
2013-12-20,69.95,70.87,69.77,70.06,14986500,69.52
2013-12-19,69.64,70.41,69.38,70.14,5950000,69.60
2013-12-18,67.12,69.69,67.12,69.69,10322500,69.15
2013-12-17,67.85,67.91,66.77,66.81,5943300,66.29
2013-12-16,67.65,68.36,67.44,67.79,4879600,67.26
2013-12-13,67.72,67.90,67.00,67.31,3883000,66.79
2013-12-12,68.28,68.30,67.48,67.57,4907400,67.05
2013-12-11,68.02,68.73,67.93,68.14,7210300,67.61
2013-12-10,66.60,68.60,66.23,67.99,9875700,67.46
2013-12-09,66.88,67.09,66.21,66.73,5023400,66.21
2013-12-06,66.32,66.97,66.27,66.75,4028600,66.23
2013-12-05,66.06,66.53,65.77,65.87,4088300,65.36
2013-12-04,66.48,66.66,65.45,66.12,5261300,65.61
2013-12-03,66.08,66.95,66.06,66.75,4513400,66.23
2013-12-02,67.10,67.50,66.24,66.65,4813000,66.13
2013-11-29,67.09,67.64,66.90,66.96,3940100,66.44
2013-11-27,66.38,66.96,66.22,66.76,4943600,66.24
2013-11-26,66.66,67.20,66.06,66.09,5557500,65.58
2013-11-25,66.71,66.99,66.56,66.78,3546600,66.26
2013-11-22,65.98,66.71,65.98,66.68,4491400,66.16
2013-11-21,65.43,66.18,65.40,66.09,4072100,65.58
2013-11-20,65.34,65.74,65.15,65.42,3642300,64.91
2013-11-19,65.54,65.75,65.16,65.22,4042200,64.71
2013-11-18,65.60,65.69,65.24,65.44,4680200,64.93
2013-11-15,65.11,65.70,65.04,65.62,3816100,65.11
2013-11-14,64.43,65.45,64.28,65.27,4630900,64.76
2013-11-13,64.44,64.49,63.68,64.38,4085000,63.88
2013-11-12,63.74,64.04,63.55,63.96,4380700,63.46
2013-11-11,63.87,64.16,63.74,63.93,2994100,63.43
2013-11-08,63.54,63.90,63.29,63.78,6221000,63.29
2013-11-07,63.84,64.00,63.29,63.54,6027200,63.05
2013-11-06,63.78,63.97,63.50,63.87,6826300,63.37
2013-11-05,63.48,64.44,62.61,63.22,10424900,62.73
2013-11-04,62.71,62.84,61.93,61.98,6774100,61.50
2013-11-01,62.42,62.90,62.42,62.59,5112300,62.10
2013-10-31,62.20,62.64,61.87,62.26,5156500,61.78
2013-10-30,62.55,62.66,61.90,62.22,4007900,61.74
2013-10-29,61.87,62.65,61.85,62.55,5547600,62.07
2013-10-28,61.68,62.42,61.45,61.74,6443100,61.26
2013-10-25,61.99,62.12,61.08,61.41,5447800,60.93
2013-10-24,61.43,62.22,61.29,62.07,5585700,61.59
2013-10-23,61.08,61.78,60.92,61.46,6285100,60.98
2013-10-22,60.58,62.91,60.38,61.38,10257700,60.90
2013-10-21,60.86,61.21,60.29,60.38,4524000,59.91
2013-10-18,60.41,61.23,60.21,61.01,8490100,60.54
2013-10-17,58.54,60.07,57.85,60.00,5550400,59.53
2013-10-16,59.43,59.43,58.95,59.16,7629800,58.48
2013-10-15,59.55,59.60,58.95,59.06,5212100,58.38
2013-10-14,59.15,59.79,59.00,59.69,3496500,59.00
2013-10-11,58.71,59.60,58.70,59.57,4879100,58.88
2013-10-10,58.56,58.91,58.28,58.72,6285400,58.04
2013-10-09,57.11,58.29,56.95,58.04,9597600,57.37
2013-10-08,57.02,57.99,57.01,57.05,8410300,56.39
2013-10-07,56.35,57.12,56.34,56.73,4334100,56.08
2013-10-04,56.52,57.08,56.32,56.88,5045400,56.22
2013-10-03,57.19,57.28,56.44,56.64,7581900,55.99
2013-10-02,57.16,57.20,56.60,57.10,6636800,56.44
2013-10-01,56.76,57.93,56.76,57.54,7224600,56.88
2013-09-30,57.47,57.65,56.67,56.75,7556700,56.10
2013-09-27,58.08,58.08,57.66,57.80,3481200,57.13
2013-09-26,57.90,58.69,57.87,58.17,4841300,57.50
2013-09-25,57.96,58.62,57.64,57.78,5034400,57.11
2013-09-24,58.25,58.35,57.85,57.92,5337800,57.25
2013-09-23,58.35,58.40,57.81,58.20,6487700,57.53
2013-09-20,59.69,59.72,58.29,58.53,9886000,57.86
2013-09-19,60.58,60.61,59.67,59.80,7510700,59.11
2013-09-18,60.96,61.33,59.53,60.56,10955500,59.86
2013-09-17,60.94,61.08,60.70,61.01,4811600,60.31
2013-09-16,60.39,61.17,60.39,60.95,5386200,60.25
2013-09-13,59.61,60.02,59.54,59.90,3499800,59.21
2013-09-12,59.72,60.00,59.47,59.51,4700200,58.82
2013-09-11,59.24,59.82,59.24,59.60,4281300,58.91
2013-09-10,59.11,59.40,58.86,59.22,4715900,58.54
2013-09-09,58.73,58.88,58.34,58.77,4849700,58.09
2013-09-06,58.59,59.03,57.95,58.63,4880400,57.95
2013-09-05,58.18,58.87,58.02,58.46,4080900,57.79
2013-09-04,58.52,58.80,58.24,58.62,3855500,57.94
2013-09-03,58.44,58.69,58.19,58.52,4350500,57.85
2013-08-30,57.97,58.29,57.62,58.05,4560900,57.38
2013-08-29,57.11,58.36,57.07,57.82,4047300,57.15
2013-08-28,57.58,58.02,57.21,57.28,6158400,56.62
2013-08-27,57.77,58.07,57.54,57.69,5495900,57.03
2013-08-26,57.95,58.79,57.95,58.24,4200100,57.57
2013-08-23,58.52,58.56,57.97,57.97,6781800,57.30
2013-08-22,58.30,58.66,58.20,58.38,4125600,57.71
2013-08-21,59.07,59.07,58.06,58.09,4936400,57.42
2013-08-20,58.54,59.69,58.46,59.28,4621300,58.60
2013-08-19,58.36,58.84,58.30,58.45,3735600,57.78
2013-08-16,58.45,58.99,58.34,58.57,5440500,57.89
2013-08-15,59.10,59.20,58.46,58.65,4339000,57.97
2013-08-14,60.26,60.26,59.60,59.62,4391600,58.93
2013-08-13,59.99,60.48,59.74,60.32,4390400,59.62
2013-08-12,59.03,60.00,58.85,59.88,4773600,59.19
2013-08-09,59.18,59.97,58.99,59.48,5089200,58.79
2013-08-08,59.37,59.50,58.58,59.34,5090000,58.66
2013-08-07,59.29,59.38,58.27,59.12,6288900,58.44
2013-08-06,61.43,61.46,59.49,59.89,8477700,59.20
2013-08-05,62.04,62.07,61.58,61.62,4656600,60.91
2013-08-02,61.89,62.18,61.59,61.84,4230600,61.13
2013-08-01,62.01,62.22,61.70,62.17,3366300,61.45
2013-07-31,61.02,61.88,60.76,61.49,4840200,60.78
2013-07-30,61.84,62.08,60.87,60.96,3492700,60.26
2013-07-29,61.64,61.81,61.33,61.62,2723300,60.91
2013-07-26,61.51,62.00,61.14,61.96,2718100,61.25
2013-07-25,61.49,62.05,61.24,61.93,2822700,61.22
2013-07-24,61.94,62.01,61.38,61.66,2361500,60.95
2013-07-23,62.08,62.36,61.49,61.89,2926100,61.18
2013-07-22,61.67,61.99,61.55,61.82,2476200,61.11
2013-07-19,61.23,61.70,61.01,61.63,3055700,60.92
2013-07-18,60.81,61.55,60.69,61.20,4205900,60.49
2013-07-17,61.04,61.10,60.68,60.95,2607500,60.03
2013-07-16,60.46,61.03,60.28,60.89,3463600,59.97
2013-07-15,61.08,61.31,60.64,60.65,3258700,59.73
2013-07-12,60.76,61.25,60.66,60.95,3594700,60.03
2013-07-11,60.56,61.06,60.14,61.00,4215000,60.07
2013-07-10,60.05,60.33,59.81,59.88,4879200,58.97
2013-07-09,59.79,60.37,59.66,60.15,4102700,59.24
2013-07-08,58.98,59.53,58.72,59.53,3510700,58.63
2013-07-05,58.60,58.76,57.94,58.64,2726400,57.75
2013-07-03,58.21,58.34,57.47,58.30,3172000,57.42
2013-07-02,57.56,58.58,57.32,58.49,5512500,57.60
2013-07-01,57.72,58.57,57.41,57.59,4747200,56.72
2013-06-28,57.26,57.68,56.62,57.18,8936200,56.31
2013-06-27,57.65,57.96,57.19,57.26,4081000,56.39
2013-06-26,57.20,57.57,57.07,57.36,4043200,56.49
2013-06-25,56.42,56.89,55.66,56.62,6845800,55.76
2013-06-24,57.10,57.44,56.27,56.84,5058200,55.98
2013-06-21,57.50,58.14,57.17,57.57,7464400,56.70
2013-06-20,58.54,58.56,56.82,56.99,6733500,56.13
2013-06-19,59.90,60.34,59.09,59.09,4745100,58.19
2013-06-18,59.41,59.99,59.20,59.91,2704200,59.00
2013-06-17,59.45,59.86,58.87,59.27,3825200,58.37
2013-06-14,59.22,59.95,58.90,59.03,4224200,58.13
2013-06-13,58.45,59.37,58.34,59.27,4031800,58.37
2013-06-12,59.07,59.80,58.34,58.38,3198700,57.49
2013-06-11,58.31,59.17,58.05,58.67,5254900,57.78
2013-06-10,58.54,59.29,58.50,58.60,4952100,57.71
2013-06-07,58.49,58.63,57.92,58.49,3914100,57.60
2013-06-06,57.22,57.89,56.64,57.89,4634700,57.01
2013-06-05,57.41,57.78,56.97,57.23,4174000,56.36
2013-06-04,58.56,58.81,57.03,57.49,5104000,56.62
2013-06-03,57.76,58.70,56.59,58.65,6983100,57.76
2013-05-31,58.89,59.15,57.58,57.58,6990500,56.71
2013-05-30,59.44,59.44,58.79,58.79,3271100,57.90
2013-05-29,59.83,59.88,59.06,59.24,3809200,58.34
2013-05-28,59.71,60.70,59.71,60.21,6267400,59.30
2013-05-24,58.29,59.35,57.96,59.20,4245000,58.30
2013-05-23,58.34,58.70,57.80,58.33,4149800,57.44
2013-05-22,59.44,59.95,58.49,58.70,6008400,57.81
2013-05-21,58.97,59.67,58.96,59.51,4092100,58.61
2013-05-20,59.38,59.44,58.74,58.98,3747800,58.09
2013-05-17,59.33,59.64,59.04,59.44,4130000,58.54
2013-05-16,60.07,60.13,59.09,59.37,5505100,58.47
2013-05-15,59.99,60.66,59.58,60.35,5369100,59.43
2013-05-14,58.50,60.14,58.49,60.07,8427600,59.16
2013-05-13,57.99,58.89,57.85,58.55,6056400,57.66
2013-05-10,57.44,58.07,57.23,58.03,5089300,57.15
2013-05-09,58.31,58.40,57.20,57.49,5697200,56.62
2013-05-08,58.69,58.85,58.12,58.29,5131600,57.41
2013-05-07,57.96,58.60,57.62,58.54,4794800,57.65
2013-05-06,58.42,58.50,57.58,57.94,5150000,57.06
2013-05-03,59.33,59.37,58.50,58.64,4168700,57.75
2013-05-02,58.61,59.05,57.89,58.95,6579800,58.06
2013-05-01,58.97,59.25,58.54,58.75,8112900,57.86
2013-04-30,57.55,58.27,57.45,58.18,6759800,57.30
2013-04-29,57.94,58.00,57.37,57.44,4055800,56.57
2013-04-26,57.85,58.20,57.64,57.73,3997400,56.85
2013-04-25,57.85,58.33,57.68,57.94,6320600,57.06
2013-04-24,57.97,58.32,57.53,57.58,3631900,56.71
2013-04-23,58.23,58.50,57.58,58.02,4272300,57.14
2013-04-22,58.03,58.20,57.35,58.11,3663300,57.23
2013-04-19,57.30,58.13,56.83,58.00,6079600,57.12
2013-04-18,57.25,57.27,56.58,56.87,5519500,55.79
2013-04-17,57.44,57.78,56.99,57.21,7786300,56.12
2013-04-16,56.54,57.70,56.43,57.63,5366700,56.53
2013-04-15,57.33,57.53,56.30,56.31,6120900,55.24
2013-04-12,57.66,57.99,57.17,57.52,4613900,56.42
2013-04-11,57.07,58.29,57.05,57.76,6541300,56.66
2013-04-10,56.60,57.09,56.53,56.96,5629900,55.87
2013-04-09,56.55,57.00,56.13,56.58,5694200,55.50
2013-04-08,55.65,56.44,55.20,56.44,5237600,55.36
2013-04-05,54.83,55.66,54.77,55.64,5724600,54.58
2013-04-04,54.33,55.39,54.30,55.35,5982000,54.29
2013-04-03,55.13,55.20,53.94,54.13,6749200,53.10
2013-04-02,54.53,55.30,54.53,55.24,8002900,54.19
2013-04-01,54.75,54.97,54.33,54.53,5450800,53.49
2013-03-28,54.95,55.06,54.79,54.99,9400700,53.94
2013-03-27,55.05,55.23,54.76,54.99,8530200,53.94
2013-03-26,55.53,56.07,55.26,55.29,7631600,54.24
2013-03-25,55.27,55.64,55.13,55.30,6376600,54.25
2013-03-22,54.72,55.25,54.71,55.20,5230000,54.15
2013-03-21,54.85,55.18,54.61,54.65,7515700,53.61
2013-03-20,54.78,55.35,54.70,55.15,9136300,54.10
2013-03-19,54.00,54.49,53.95,54.38,8983200,53.34
2013-03-18,53.20,54.03,53.03,53.80,7208800,52.77
2013-03-15,53.33,53.61,53.18,53.58,8924700,52.56
2013-03-14,53.07,53.30,52.95,53.26,5796400,52.24
2013-03-13,52.22,52.93,52.17,52.90,4521600,51.89
2013-03-12,52.17,52.50,51.77,52.08,6388500,51.09
2013-03-11,52.27,52.63,52.20,52.63,4622100,51.63
2013-03-08,52.30,52.45,51.84,52.28,3979000,51.28
2013-03-07,52.22,52.22,51.70,52.09,3687800,51.10
2013-03-06,52.58,52.69,52.14,52.22,5022700,51.22
2013-03-05,52.01,52.43,51.87,52.30,5358600,51.30
2013-03-04,51.40,51.87,51.25,51.87,3132800,50.88
2013-03-01,51.07,51.64,50.88,51.56,4565000,50.58
2013-02-28,51.21,51.63,51.05,51.12,6018800,50.15
2013-02-27,50.71,51.26,50.51,51.16,3474600,50.18
2013-02-26,50.71,50.99,50.21,50.64,4128000,49.67
2013-02-25,51.69,51.97,50.53,50.53,4479000,49.57
2013-02-22,51.89,51.94,51.24,51.35,4220200,50.37
2013-02-21,51.72,51.92,51.52,51.86,5439700,50.87
2013-02-20,52.50,52.66,51.85,51.85,6350400,50.86
2013-02-19,51.38,52.77,51.38,52.66,7829300,51.66
2013-02-15,52.10,52.10,50.89,51.12,8490100,50.15
2013-02-14,50.92,52.06,50.92,51.89,5182900,50.90
2013-02-13,51.13,51.19,50.81,51.06,4838000,50.09
2013-02-12,51.26,51.31,51.13,51.17,4304000,50.19
2013-02-11,51.25,51.40,51.17,51.24,3992300,50.26
2013-02-08,51.12,51.39,51.03,51.20,3655900,50.22
2013-02-07,51.32,51.32,50.97,51.19,8371700,50.21
2013-02-06,52.09,52.20,50.97,51.24,7330000,50.26
2013-02-05,51.35,51.78,51.19,51.72,6791300,50.73
2013-02-04,51.42,51.58,50.92,51.00,5143300,50.03
2013-02-01,51.63,51.77,51.53,51.58,5694800,50.60
2013-01-31,51.57,51.69,51.19,51.20,5865600,50.22
2013-01-30,51.30,51.84,51.25,51.65,3961300,50.67
2013-01-29,51.27,51.62,51.13,51.34,6527100,50.36
2013-01-28,51.21,51.64,50.90,51.34,7026100,50.36
2013-01-25,52.32,52.42,51.56,51.86,8773200,50.87
2013-01-24,52.60,52.73,52.04,52.06,6314700,51.07
2013-01-23,51.92,52.63,51.92,52.61,4571400,51.61
2013-01-22,51.84,52.39,51.65,52.11,6231200,51.12
