Date,Open,High,Low,Close,Volume,Adj Close
2014-05-30,40.15,40.21,39.81,40.01,33300,40.01
2014-05-29,40.05,40.32,40.05,40.27,18400,40.27
2014-05-28,40.43,40.47,40.30,40.32,11200,40.32
2014-05-27,40.86,40.86,40.56,40.56,7300,40.56
2014-05-23,41.52,41.52,41.36,41.42,6600,41.42
2014-05-22,41.72,41.72,41.48,41.52,10900,41.52
2014-05-21,41.30,41.39,41.27,41.39,4000,41.39
2014-05-20,41.39,41.53,41.39,41.50,5300,41.50
2014-05-19,41.69,41.69,41.42,41.44,4000,41.44
2014-05-16,41.47,41.48,41.41,41.47,7500,41.47
2014-05-15,41.60,41.79,41.49,41.58,8800,41.58
2014-05-14,41.99,42.03,41.90,41.94,7900,41.94
2014-05-13,41.48,41.61,41.47,41.52,7400,41.52
2014-05-12,41.76,41.76,41.56,41.60,3800,41.60
2014-05-09,41.31,41.31,41.14,41.24,11200,41.24
2014-05-08,41.28,41.31,41.20,41.24,5500,41.24
2014-05-07,41.75,41.81,41.29,41.31,22300,41.31
2014-05-06,41.95,41.97,41.86,41.90,10400,41.90
2014-05-05,42.08,42.11,41.97,41.99,5700,41.99
2014-05-02,41.06,41.86,40.99,41.61,425000,41.61
2014-05-01,40.92,41.11,40.85,41.09,39500,41.09
2014-04-30,41.22,41.46,41.17,41.32,21500,41.32
2014-04-29,41.64,41.70,41.54,41.59,11100,41.59
2014-04-28,41.71,41.71,41.54,41.61,6700,41.61
2014-04-25,41.84,41.93,41.76,41.79,3000,41.79
2014-04-24,41.00,41.65,40.98,41.59,7500,41.59
2014-04-23,41.26,41.29,41.16,41.23,15100,41.23
2014-04-22,41.28,41.35,40.98,41.26,31800,41.26
2014-04-21,41.39,41.40,41.24,41.39,54200,41.39
2014-04-17,41.83,41.83,41.58,41.61,18500,41.61
2014-04-16,41.77,41.86,41.71,41.86,10100,41.86
2014-04-15,41.58,41.86,40.00,41.86,12500,41.86
2014-04-14,42.63,42.77,42.60,42.63,20500,42.63
2014-04-11,42.46,42.47,42.36,42.39,4800,42.39
2014-04-10,42.44,42.58,42.43,42.48,10400,42.48
2014-04-09,41.87,42.20,41.87,42.20,3600,42.20
2014-04-08,42.25,42.25,42.15,42.18,7000,42.18
2014-04-07,41.80,41.97,41.75,41.82,17800,41.82
2014-04-04,41.90,42.20,41.87,41.99,14800,41.99
2014-04-03,41.40,41.57,41.38,41.51,31000,41.51
2014-04-02,41.64,41.82,41.62,41.65,233300,41.65
2014-04-01,41.34,41.44,41.20,41.31,83300,41.31
2014-03-31,41.60,41.71,41.35,41.38,27500,41.38
2014-03-28,41.50,41.74,41.50,41.70,28400,41.70
2014-03-27,41.75,41.91,41.59,41.73,27500,41.73
2014-03-26,42.21,42.29,41.82,41.91,20000,41.91
2014-03-25,42.68,42.68,42.25,42.29,18000,42.29
