Date,Open,High,Low,Close,Volume,Adj Close
2014-05-30,41.84,41.84,41.51,41.75,30400,41.75
2014-05-29,41.94,42.14,41.92,41.98,9200,41.98
2014-05-28,42.19,42.25,42.02,42.09,18600,42.09
2014-05-27,42.66,42.66,42.34,42.34,21200,42.34
2014-05-23,43.29,43.29,43.25,43.25,1700,43.25
2014-05-22,43.47,43.50,43.29,43.35,5900,43.35
2014-05-21,43.12,43.22,43.03,43.20,7100,43.20
2014-05-20,43.22,43.39,43.22,43.36,6600,43.36
2014-05-19,43.56,43.56,43.30,43.30,3500,43.30
2014-05-16,43.26,43.33,43.24,43.30,8400,43.30
2014-05-15,43.36,43.56,43.35,43.35,15300,43.35
2014-05-14,43.77,43.77,43.67,43.74,3400,43.74
2014-05-13,43.41,43.44,43.31,43.32,24700,43.32
2014-05-12,43.50,43.53,43.42,43.42,20500,43.42
2014-05-09,43.25,43.26,43.10,43.12,2800,43.12
2014-05-08,43.23,43.23,43.11,43.17,7600,43.17
2014-05-07,43.58,43.65,43.16,43.16,22900,43.16
2014-05-06,43.81,43.82,43.75,43.82,2700,43.82
2014-05-05,43.99,43.99,43.87,43.90,12400,43.90
2014-05-02,42.97,43.70,42.92,43.49,55900,43.49
2014-05-01,42.94,43.03,42.94,43.03,18100,43.03
2014-04-30,43.18,43.32,43.06,43.21,9100,43.21
2014-04-29,43.51,43.51,43.36,43.42,18600,43.42
2014-04-28,43.55,43.57,43.30,43.47,19600,43.47
2014-04-25,43.52,43.68,43.51,43.60,34300,43.60
2014-04-24,42.70,43.47,42.68,43.32,40300,43.32
2014-04-23,43.01,43.05,42.90,42.99,1220400,42.99
2014-04-22,43.13,43.13,42.75,43.02,39300,43.02
2014-04-21,43.13,43.21,43.04,43.21,33500,43.21
2014-04-17,43.60,43.65,43.32,43.38,34200,43.38
2014-04-16,43.61,43.64,43.49,43.64,1212300,43.64
2014-04-15,43.40,43.70,43.37,43.70,5000,43.70
2014-04-14,44.42,44.56,44.42,44.43,1000,44.43
2014-04-11,44.21,44.21,44.16,44.16,2100,44.16
2014-04-10,44.16,44.29,44.16,44.19,33900,44.19
2014-04-09,43.66,44.04,43.62,43.95,7000,43.95
2014-04-08,43.91,43.94,43.84,43.86,13900,43.86
2014-04-07,43.49,43.62,43.44,43.48,89400,43.48
2014-04-04,43.57,43.84,43.57,43.68,49700,43.68
2014-04-03,43.02,43.17,43.02,43.12,15800,43.12
2014-04-02,43.27,43.34,43.21,43.22,19100,43.22
2014-04-01,43.05,43.05,42.83,42.90,128200,42.90
2014-03-31,43.31,43.36,43.00,43.00,69900,43.00
2014-03-28,43.21,43.47,43.12,43.33,76000,43.33
2014-03-27,43.60,43.60,43.30,43.37,32100,43.37
2014-03-26,43.94,43.99,43.55,43.63,1641300,43.63
2014-03-25,44.03,44.15,43.99,44.03,17500,44.03
2014-03-24,44.18,44.24,43.93,43.95,122200,43.95
2014-03-21,44.95,44.95,44.79,44.82,10700,44.82
2014-03-20,44.49,44.70,44.49,44.57,32800,44.57
2014-03-19,45.15,45.15,44.59,44.59,82800,44.59
2014-03-18,45.45,45.70,45.43,45.51,13700,45.51
2014-03-17,46.30,46.44,45.83,45.87,28000,45.87
2014-03-14,46.61,46.61,46.17,46.41,37600,46.41
2014-03-13,45.89,46.19,45.89,46.10,25700,46.10
2014-03-12,45.85,46.05,45.82,45.95,16100,45.95
2014-03-11,45.32,45.34,44.96,45.26,38100,45.26
2014-03-10,44.93,45.14,44.91,45.01,8000,45.01
2014-03-07,44.68,45.03,44.67,44.98,24800,44.98
2014-03-06,45.21,45.43,45.16,45.37,22600,45.37
2014-03-05,44.85,45.06,44.80,44.90,31200,44.90
2014-03-04,44.79,45.01,44.74,44.83,9400,44.83
2014-03-03,45.32,45.53,45.25,45.41,35300,45.41
2014-02-28,44.70,44.70,44.35,44.49,30900,44.49
2014-02-27,44.73,44.85,44.61,44.69,32400,44.69
2014-02-26,44.76,44.80,44.44,44.62,84200,44.62
2014-02-25,44.83,45.13,44.83,45.02,146100,45.02
2014-02-24,44.80,44.96,44.76,44.94,10600,44.94
2014-02-21,44.46,44.60,44.36,44.60,61200,44.60
2014-02-20,44.17,44.44,44.04,44.44,447800,44.44
2014-02-19,44.34,44.40,43.96,43.99,352800,43.99
2014-02-18,44.36,44.48,44.26,44.37,33700,44.37
2014-02-14,44.21,44.37,44.21,44.25,5000,44.25
2014-02-13,43.51,43.70,43.51,43.70,3000,43.70
