Date,Open,High,Low,Close,Volume,Adj Close
2014-05-30,62.04,62.04,62.04,62.04,000,62.04
2014-05-29,62.04,62.04,62.04,62.04,000,62.04
2014-05-28,62.04,62.04,62.04,62.04,500,62.04
2014-05-27,62.76,62.76,62.76,62.76,400,62.76
2014-05-23,63.48,63.48,63.48,63.48,000,63.48
2014-05-22,63.48,63.48,63.48,63.48,000,63.48
2014-05-21,63.48,63.48,63.48,63.48,300,63.48
2014-05-20,63.67,63.84,63.67,63.68,2100,63.68
2014-05-19,64.22,64.22,64.22,64.22,300,64.22
2014-05-16,63.74,63.74,63.74,63.74,000,63.74
2014-05-15,63.74,63.74,63.74,63.74,000,63.74
2014-05-14,63.74,63.74,63.74,63.74,000,63.74
2014-05-13,63.90,63.90,63.74,63.74,2500,63.74
2014-05-12,64.05,64.05,63.92,64.04,900,64.04
2014-05-09,63.57,63.57,63.57,63.57,000,63.57
2014-05-08,63.38,63.57,63.32,63.57,3900,63.57
2014-05-07,63.97,63.98,63.92,63.92,1700,63.92
2014-05-06,64.44,64.49,64.40,64.40,1400,64.40
2014-05-05,64.59,64.66,64.44,64.44,900,64.44
2014-05-02,62.78,62.78,62.78,62.78,000,62.78
2014-05-01,62.70,62.80,62.70,62.78,700,62.78
2014-04-30,64.04,64.04,64.04,64.04,000,64.04
2014-04-29,64.04,64.04,64.04,64.04,000,64.04
2014-04-28,64.04,64.04,64.04,64.04,200,64.04
2014-04-25,64.28,64.28,64.28,64.28,000,64.28
2014-04-24,62.89,64.28,62.89,64.28,1000,64.28
2014-04-23,63.35,63.35,63.35,63.35,400,63.35
2014-04-22,63.45,63.45,63.30,63.30,1200,63.30
2014-04-21,63.49,63.53,63.49,63.53,300,63.53
2014-04-17,64.12,64.12,64.12,64.12,200,64.12
2014-04-16,64.15,64.29,64.15,64.26,900,64.26
2014-04-15,63.92,63.92,63.71,63.71,1500,63.71
2014-04-14,65.28,65.28,65.28,65.28,000,65.28
2014-04-11,65.32,65.39,65.28,65.28,7700,65.28
2014-04-10,65.35,65.35,65.35,65.35,200,65.35
2014-04-09,64.39,64.87,64.39,64.87,600,64.87
2014-04-08,64.93,64.93,64.93,64.93,1000,64.93
2014-04-07,63.82,63.82,63.82,63.82,000,63.82
2014-04-04,63.82,63.82,63.82,63.82,000,63.82
2014-04-03,63.82,63.82,63.82,63.82,200,63.82
2014-04-02,64.32,64.32,64.32,64.32,500,64.32
2014-04-01,63.75,63.76,63.75,63.76,700,63.76
2014-03-31,64.11,64.11,64.11,64.11,200,64.11
