Date,Open,High,Low,Close,Volume,Adj Close
2014-05-30,10.40,10.41,10.29,10.35,957400,10.35
2014-05-29,10.40,10.44,10.39,10.40,268700,10.40
2014-05-28,10.44,10.47,10.41,10.41,978300,10.41
2014-05-27,10.58,10.60,10.47,10.48,1036200,10.48
2014-05-23,10.73,10.74,10.69,10.71,325600,10.71
2014-05-22,10.80,10.80,10.72,10.73,570400,10.73
2014-05-21,10.71,10.73,10.64,10.71,525400,10.71
2014-05-20,10.69,10.76,10.69,10.74,280700,10.74
2014-05-19,10.76,10.80,10.72,10.73,326900,10.73
2014-05-16,10.70,10.74,10.70,10.71,248200,10.71
2014-05-15,10.76,10.82,10.73,10.74,353900,10.74
2014-05-14,10.83,10.85,10.81,10.85,277900,10.85
2014-05-13,10.75,10.77,10.72,10.72,443800,10.72
2014-05-12,10.80,10.81,10.75,10.76,383300,10.76
2014-05-09,10.73,10.74,10.67,10.69,693100,10.69
2014-05-08,10.68,10.73,10.67,10.70,499800,10.70
2014-05-07,10.83,10.84,10.68,10.69,885100,10.69
2014-05-06,10.87,10.87,10.83,10.86,478900,10.86
2014-05-05,10.90,10.91,10.86,10.89,714100,10.89
2014-05-02,10.65,10.82,10.61,10.78,575600,10.78
2014-05-01,10.61,10.67,10.61,10.65,437000,10.65
2014-04-30,10.72,10.76,10.67,10.70,510600,10.70
2014-04-29,10.77,10.80,10.74,10.75,283100,10.75
2014-04-28,10.79,10.80,10.73,10.75,349300,10.75
2014-04-25,10.76,10.84,10.76,10.81,418800,10.81
2014-04-24,10.60,10.77,10.57,10.73,964300,10.73
2014-04-23,10.65,10.67,10.63,10.64,429500,10.64
2014-04-22,10.68,10.69,10.59,10.64,696700,10.64
2014-04-21,10.70,10.71,10.65,10.69,901700,10.69
2014-04-17,10.82,10.83,10.73,10.74,585400,10.74
2014-04-16,10.81,10.84,10.79,10.83,340900,10.83
2014-04-15,10.78,10.85,10.75,10.82,416300,10.82
2014-04-14,11.00,11.07,11.00,11.02,349200,11.02
2014-04-11,10.98,10.99,10.93,10.93,595800,10.93
2014-04-10,10.95,11.00,10.95,10.98,471600,10.98
2014-04-09,10.83,10.92,10.82,10.90,324600,10.90
2014-04-08,10.90,10.90,10.86,10.90,500000,10.90
2014-04-07,10.80,10.82,10.76,10.76,272500,10.76
2014-04-04,10.78,10.84,10.75,10.83,293600,10.83
2014-04-03,10.66,10.70,10.65,10.67,285900,10.67
2014-04-02,10.73,10.75,10.71,10.71,676100,10.71
2014-04-01,10.70,10.70,10.61,10.63,924000,10.63
2014-03-31,10.74,10.76,10.66,10.67,465700,10.67
2014-03-28,10.71,10.77,10.68,10.75,486000,10.75
2014-03-27,10.79,10.80,10.72,10.75,551100,10.75
2014-03-26,10.91,10.91,10.79,10.80,825400,10.80
2014-03-25,10.91,10.95,10.90,10.91,333600,10.91
2014-03-24,10.94,10.98,10.87,10.88,613900,10.88
2014-03-21,11.14,11.14,11.08,11.09,453500,11.09
2014-03-20,11.03,11.08,11.00,11.02,606400,11.02
2014-03-19,11.19,11.20,11.04,11.04,748200,11.04
2014-03-18,11.25,11.33,11.25,11.28,390300,11.28
2014-03-17,11.45,11.52,11.34,11.36,905300,11.36
2014-03-14,11.57,11.57,11.44,11.50,771300,11.50
2014-03-13,11.40,11.45,11.36,11.43,899600,11.43
2014-03-12,11.37,11.43,11.35,11.41,746700,11.41
2014-03-11,11.21,11.24,11.15,11.22,435900,11.22
2014-03-10,11.15,11.19,11.12,11.14,377500,11.14
2014-03-07,11.08,11.16,11.07,11.16,444900,11.16
2014-03-06,11.20,11.28,11.19,11.25,455700,11.25
2014-03-05,11.13,11.18,11.12,11.14,403500,11.14
2014-03-04,11.11,11.16,11.08,11.11,667200,11.11
2014-03-03,11.25,11.30,11.22,11.26,761500,11.26
2014-02-28,11.08,11.09,11.01,11.05,713500,11.05
2014-02-27,11.10,11.14,11.05,11.08,384600,11.08
2014-02-26,11.12,11.12,11.01,11.06,563400,11.06
2014-02-25,11.11,11.19,11.10,11.16,501800,11.16
2014-02-24,11.09,11.16,11.08,11.15,595600,11.15
2014-02-21,11.02,11.07,10.98,11.01,474900,11.01
2014-02-20,10.96,11.04,10.93,11.02,942000,11.02
2014-02-19,11.03,11.04,10.91,10.92,611300,10.92
2014-02-18,11.04,11.06,11.01,11.04,1029800,11.04
2014-02-14,10.97,11.03,10.96,11.02,1336800,11.02
2014-02-13,10.78,10.85,10.77,10.85,656300,10.85
2014-02-12,10.75,10.80,10.72,10.75,792700,10.75
2014-02-11,10.64,10.77,10.64,10.74,1052200,10.74
2014-02-10,10.60,10.63,10.59,10.60,485000,10.60
2014-02-07,10.47,10.55,10.47,10.54,740400,10.54
2014-02-06,10.48,10.49,10.43,10.47,372100,10.47
2014-02-05,10.52,10.52,10.43,10.47,632900,10.47
2014-02-04,10.41,10.46,10.38,10.45,556900,10.45
2014-02-03,10.39,10.52,10.37,10.46,1607500,10.46
2014-01-31,10.41,10.44,10.32,10.38,698900,10.38
2014-01-30,10.39,10.39,10.30,10.34,673400,10.34
2014-01-29,10.55,10.58,10.46,10.56,1067100,10.56
2014-01-28,10.48,10.48,10.39,10.44,593800,10.44
2014-01-27,10.53,10.54,10.42,10.45,1040000,10.45
2014-01-24,10.55,10.58,10.49,10.56,851400,10.56
2014-01-23,10.43,10.54,10.43,10.51,911000,10.51
2014-01-22,10.34,10.35,10.28,10.28,410600,10.28
2014-01-21,10.32,10.36,10.30,10.34,884900,10.34
2014-01-17,10.38,10.45,10.37,10.43,713300,10.43
2014-01-16,10.35,10.36,10.31,10.34,546100,10.34
2014-01-15,10.28,10.35,10.28,10.34,1236700,10.34
2014-01-14,10.39,10.43,10.31,10.33,561800,10.33
2014-01-13,10.36,10.45,10.36,10.45,1202400,10.45
2014-01-10,10.26,10.37,10.21,10.35,1076600,10.35
2014-01-09,10.19,10.21,10.16,10.18,869100,10.18
2014-01-08,10.18,10.21,10.13,10.17,726000,10.17
2014-01-07,10.20,10.26,10.16,10.23,942300,10.23
2014-01-06,10.29,10.34,10.14,10.27,1139800,10.27
2014-01-03,10.20,10.28,10.18,10.24,905800,10.24
2014-01-02,10.13,10.20,10.11,10.14,783400,10.14
2013-12-31,9.84,10.05,9.82,9.96,2841800,9.96
2013-12-30,9.99,10.00,9.89,9.90,1866400,9.90
2013-12-27,10.06,10.10,10.03,10.06,1607000,10.06
2013-12-26,10.08,10.09,10.02,10.03,928600,10.03
2013-12-24,9.93,10.00,9.93,9.98,547700,9.98
2013-12-23,9.79,9.96,9.79,9.94,3517300,9.94
